step,loss_function,target_value,elapsed_time
4580,3.95933e-02,-7.88547e-01,236
4600,4.07091e-02,-7.89492e-01,237
4620,2.17989e-02,-7.91664e-01,238
4640,2.14422e-02,-7.92391e-01,239
4660,1.47842e-02,-7.88559e-01,240
4680,2.24146e-02,-7.87547e-01,241
4700,2.89500e-02,-7.92982e-01,242
4720,1.74754e-02,-7.90423e-01,243
4740,3.19347e-02,-7.84336e-01,244
4760,3.94321e-02,-7.86416e-01,245
4780,1.89389e-02,-7.85549e-01,247
4800,1.61783e-02,-7.87656e-01,248
4820,2.80511e-02,-7.87283e-01,249
4840,3.51064e-02,-7.90307e-01,250
4860,3.44904e-02,-7.87609e-01,251
4880,1.48429e-02,-7.84854e-01,252
4900,2.81249e-02,-7.82233e-01,253
4920,3.10913e-02,-7.78315e-01,254
4940,2.05769e-02,-7.83528e-01,255
4960,2.29231e-02,-7.90037e-01,256
4980,2.06722e-02,-7.93284e-01,257
5000,2.18042e-02,-7.96527e-01,258
5020,2.64725e-02,-7.92314e-01,259
5040,1.52663e-02,-7.88437e-01,260
5060,1.88008e-02,-7.89370e-01,261
5080,1.76274e-02,-7.89144e-01,262
5100,2.35251e-02,-7.86973e-01,263
5120,3.74929e-02,-7.90002e-01,264
5140,2.82941e-02,-7.87541e-01,265
5160,4.15869e-02,-7.86945e-01,266
5180,2.82997e-02,-7.91351e-01,267
5200,3.82322e-02,-7.92157e-01,268
5220,2.00577e-02,-7.88912e-01,269
5240,2.50759e-02,-7.84249e-01,270
5260,2.65998e-02,-7.80689e-01,271
5280,2.66173e-02,-7.82142e-01,272
5300,3.21824e-02,-7.79890e-01,273
5320,3.14833e-02,-7.84231e-01,274
5340,2.83124e-02,-7.84360e-01,275
5360,1.43541e-02,-7.85560e-01,276
5380,1.80310e-02,-7.88794e-01,277
5400,1.85689e-02,-7.85363e-01,278
5420,1.51753e-02,-7.86181e-01,279
5440,1.47468e-02,-7.87149e-01,280
5460,2.98618e-02,-7.85717e-01,281
5480,2.22830e-02,-7.86003e-01,282
5500,2.58127e-02,-7.86386e-01,283
5520,2.94955e-02,-7.81036e-01,285
5540,2.74311e-02,-7.83072e-01,286
5560,3.43990e-02,-7.83581e-01,287
5580,1.92305e-02,-7.82933e-01,288
5600,2.14206e-02,-7.79085e-01,289
5620,2.69905e-02,-7.81321e-01,290
5640,1.82215e-02,-7.83468e-01,291
5660,1.45814e-02,-7.83804e-01,292
5680,2.69950e-02,-7.87556e-01,293
5700,1.54600e-02,-7.91995e-01,294
5720,2.30243e-02,-7.91323e-01,295
5740,3.67770e-02,-7.87256e-01,296
5760,3.25931e-02,-7.84056e-01,297
5780,2.69737e-02,-7.84270e-01,298
