step,loss_function,target_value,elapsed_time
6080,6.51469e-01,2.30760e+00,232
6100,6.74548e-01,2.30717e+00,233
6120,6.11520e-01,2.30747e+00,233
6140,6.30562e-01,2.30834e+00,234
6160,6.35197e-01,2.30744e+00,235
6180,5.88151e-01,2.30796e+00,235
6200,5.31839e-01,2.30776e+00,236
6220,6.42125e-01,2.30700e+00,237
6240,7.48152e-01,2.30685e+00,238
6260,6.59912e-01,2.30732e+00,239
6280,5.93640e-01,2.30756e+00,239
6300,6.40058e-01,2.30662e+00,240
6320,5.72043e-01,2.30784e+00,241
6340,5.64054e-01,2.30696e+00,242
6360,5.26303e-01,2.30866e+00,242
6380,5.53342e-01,2.30923e+00,243
6400,5.57456e-01,2.30871e+00,244
6420,6.18178e-01,2.30754e+00,245
6440,6.01434e-01,2.30731e+00,245
6460,5.82561e-01,2.30689e+00,246
6480,5.34622e-01,2.30754e+00,247
6500,6.77035e-01,2.30788e+00,248
6520,5.63584e-01,2.30751e+00,248
6540,5.43779e-01,2.30721e+00,249
6560,5.81113e-01,2.30690e+00,250
6580,5.57497e-01,2.30619e+00,251
6600,6.10932e-01,2.30533e+00,251
6620,5.58258e-01,2.30484e+00,252
6640,6.24954e-01,2.30594e+00,253
6660,5.73521e-01,2.30587e+00,254
6680,5.43240e-01,2.30725e+00,255
6700,5.96422e-01,2.30709e+00,256
6720,5.44623e-01,2.30753e+00,257
6740,5.79753e-01,2.30681e+00,257
6760,6.16284e-01,2.30663e+00,258
6780,7.11754e-01,2.30639e+00,259
6800,5.56147e-01,2.30685e+00,260
6820,5.45594e-01,2.30676e+00,261
6840,5.23649e-01,2.30616e+00,261
6860,5.91634e-01,2.30611e+00,262
6880,5.17715e-01,2.30481e+00,263
6900,5.96119e-01,2.30452e+00,264
6920,5.37108e-01,2.30574e+00,264
6940,5.15373e-01,2.30636e+00,265
6960,5.73156e-01,2.30673e+00,266
6980,5.19586e-01,2.30678e+00,267
7000,5.85906e-01,2.30620e+00,267
7020,5.02275e-01,2.30609e+00,268
7040,5.12303e-01,2.30546e+00,269
7060,7.09857e-01,2.30461e+00,270
7080,5.69565e-01,2.30385e+00,271
7100,4.65946e-01,2.30597e+00,272
7120,5.46020e-01,2.30684e+00,272
7140,5.35746e-01,2.30781e+00,273
7160,4.92230e-01,2.30752e+00,274
7180,5.37509e-01,2.30780e+00,275
7200,5.14002e-01,2.30805e+00,275
7220,5.65684e-01,2.30805e+00,276
7240,5.37157e-01,2.30861e+00,277
7260,5.73657e-01,2.30711e+00,278
7280,5.23205e-01,2.30603e+00,279
7300,4.64625e-01,2.30812e+00,280
7320,5.16887e-01,2.30819e+00,280
7340,5.37919e-01,2.30845e+00,281
7360,5.76329e-01,2.30852e+00,282
7380,5.09576e-01,2.30874e+00,283
7400,5.03543e-01,2.30988e+00,284
7420,4.93039e-01,2.31014e+00,284
7440,5.95999e-01,2.31103e+00,285
7460,4.70360e-01,2.31177e+00,286
7480,4.95916e-01,2.31111e+00,287
7500,5.15216e-01,2.30983e+00,287
7520,4.79025e-01,2.30974e+00,288
7540,4.89721e-01,2.30892e+00,289
7560,4.73644e-01,2.30886e+00,290
7580,5.42460e-01,2.30887e+00,290
7600,4.47781e-01,2.30981e+00,291
7620,5.32230e-01,2.30963e+00,292
7640,6.72177e-01,2.31049e+00,293
7660,4.66607e-01,2.30922e+00,294
